generation,prop,correction_selection,error_selection,schemata_1_count,schemata_1_avg_fitness,schemata_1_std,schemata_0_count,schemata_0_avg_fitness,schemata_0_std
0,0.5,0,0,78,20.794871794871796,3.2004828140595043,122,18.991803278688526,3.441352563326392
1,0.537875,847,482,83,21.72289156626506,2.3075340708424514,117,21.367521367521366,2.634644157737732
2,0.578375,705,381,80,23.075,2.237624192154808,120,23.175,2.2441801482535055
3,0.615375,729,432,93,24.408602150537636,1.968427750105812,107,24.794392523364486,1.7895836859449117
4,0.6475,735,432,89,26.303370786516854,1.8178689720635588,111,25.576576576576578,1.5928793228818487
5,0.676625,598,370,97,27.298969072164947,1.6148074475873293,103,26.844660194174757,1.5000475910973041
6,0.70375,556,348,111,28.28828828828829,1.4358234089151987,89,27.97752808988764,1.3649636033266739
7,0.731125,494,292,121,29.39669421487603,1.5941525378863801,79,29.0126582278481,1.160168764094877
8,0.760375,466,254,133,30.69172932330827,1.472888581890678,67,29.865671641791046,1.0856574936772494
9,0.789875,447,241,139,31.64748201438849,1.5457436152058128,61,31.475409836065573,1.2193790411113516
10,0.8125,462,269,128,32.53125,1.4194237491065025,72,32.44444444444444,1.099153180944298
11,0.834875,394,213,139,33.589928057553955,1.147226963129662,61,32.950819672131146,1.0712333936199698
12,0.860375,389,204,148,34.479729729729726,1.065664460692764,52,34.23076923076923,1.1982893790305562
13,0.8805,310,159,156,35.217948717948715,1.0051151228871298,44,35.22727272727273,1.0084212013037512
14,0.899875,283,130,169,36.053254437869825,1.0365944414603512,31,35.67741935483871,0.9087389347953037
15,0.9195,264,111,178,36.825842696629216,1.056593833404382,22,36.40909090909091,0.7341396590302414
16,0.94025,220,71,179,37.675977653631286,0.9031987596857263,21,37.04761904761905,0.9734572654303052
17,1,178,56,188,38.3031914893617,0.7447430203394282,12,38.25,0.8660254037844386
