generation,prop,correction_selection,error_selection,schemata_1_count,schemata_1_avg_fitness,schemata_1_std,schemata_0_count,schemata_0_avg_fitness,schemata_0_std
0,0.5,0,0,91,20.857142857142858,3.104016854806145,109,19.853211009174313,3.152969464775008
1,0.55125,803,441,101,22.564356435643564,2.95098573898336,99,21.525252525252526,2.6624502844584623
2,0.599625,738,382,112,24.383928571428573,2.1529177173210075,88,23.477272727272727,2.207496489770957
3,0.6455,662,351,127,26.086614173228348,1.9600114271097249,73,25.356164383561644,1.521784980921515
4,0.670875,641,406,127,27.141732283464567,1.6461808105710514,73,26.301369863013697,0.9815652396222593
5,0.68925,530,332,129,27.844961240310077,1.3372640703310807,71,27.070422535211268,1.0733651177750925
6,0.715,520,327,154,28.74025974025974,1.214321913609331,46,28.130434782608695,1.240227499778863
7,0.736375,531,352,169,29.54437869822485,1.149319570346572,31,28.967741935483872,0.9826451026944888
8,0.759375,443,258,181,30.43646408839779,1.136562402394398,19,29.789473684210527,0.9176629354822471
9,0.78225,422,259,193,31.326424870466322,0.9421695739329015,7,30.285714285714285,0.7559289460184544
10,0.8,394,241,196,32.01020408163265,0.9499786551899932,4,31.5,1.7320508075688772
11,0.819875,376,224,196,32.775510204081634,1.0079744832433517,4,33.75,0.5
12,0.8375,294,163,192,33.494791666666664,0.9921017714712387,8,33.625,0.5175491695067657
13,0.85225,289,162,189,34.1005291005291,0.8601396073286378,11,33.90909090909091,0.30151134457776363
14,0.86425,240,125,187,34.593582887700535,0.7373021858464696,13,34.23076923076923,0.4385290096535146
15,0.877375,233,131,193,35.129533678756474,0.611358025692461,7,34.142857142857146,0.3779644730092272
16,0.8895,191,97,199,35.58793969849246,0.6521566989472138,1,34,0
17,0.9005,185,85,200,36.02,0.7632251062524544,0,0,0
18,0.914375,194,84,200,36.575,0.7189991648082596,0,0,0
19,0.929,188,74,200,37.16,0.7190166372366606,0,0,0
20,0.943,175,66,200,37.72,0.6353094446427358,0,0,0
21,0.954125,134,53,200,38.165,0.5739530560531617,0,0,0
22,1,117,37,200,38.57,0.6057513296451228,0,0,0
