generation,prop,correction_selection,error_selection,schemata_1_count,schemata_1_avg,schemata_1_std,schemata_2_count,schemata_2_avg,schemata_2_std
0,0.5,0,0,89,20.359550561797754,2.7644134303486023,111,19.513513513513512,3.1126278429089607
1,0.547625,787,461,101,22.475247524752476,2.3689409423028702,99,21.32323232323232,2.4109794894474703
2,0.59,826,495,122,24.098360655737704,2.3048989725823423,78,22.82051282051282,1.911982650464605
3,0.626625,671,383,142,25.309859154929576,1.90252947933489,58,24.46551724137931,1.7493409008586114
4,0.66175,676,433,156,26.634615384615383,1.578429347787013,44,25.886363636363637,1.6455141147686179
5,0.685875,569,350,171,27.538011695906434,1.6494257895269246,29,26.82758620689655,1.3111871806344426
6,0.716,549,327,188,28.69148936170213,1.5685859686554293,12,27.833333333333332,1.1934162828797101
7,0.748,518,288,194,29.927835051546392,1.3714137229858971,6,29.666666666666668,0.816496580927726
8,0.769625,446,261,195,30.8,1.2947156675478266,5,30.2,0.8366600265340756
9,0.79425,389,193,195,31.784615384615385,1.128254390580948,5,31.2,0.8366600265340756
10,0.81075,314,155,197,32.43654822335025,0.9648327887062316,3,32,0.0
11,0.826875,256,128,198,33.08585858585859,0.9439640039822672,2,32,0.0
12,0.84025,227,101,200,33.61,0.9964257732556099,0,0,0
13,0.858625,224,81,200,34.345,1.0154460366096918,0,0,0
14,0.8725,179,60,200,34.9,0.9667850675481965,0,0,0
15,0.88475,141,32,200,35.39,0.923125562434548,0,0,0
16,0.89525,120,26,200,35.81,1.0485213326035019,0,0,0
17,0.90825,119,19,200,36.33,1.1522754416663303,0,0,0
18,0.925375,156,13,200,37.015,1.0441389422166316,0,0,0
19,0.940625,131,12,200,37.625,0.8047440992804068,0,0,0
20,0.952875,93,5,200,38.115,0.7171797080706772,0,0,0
21,0.959625,77,5,200,38.385,0.5368575978804901,0,0,0
22,0.965625,65,1,200,38.625,0.48533778321813714,0,0,0
23,0.97125,40,0,200,38.85,0.35796746153468745,0,0,0
24,0.9745,22,0,200,38.98,0.14035131799278394,0,0,0
25,0.975,2,0,200,39,0.0,0,0,0
26,0.975,0,0,200,39,0.0,0,0,0
27,0.975,0,0,200,39,0.0,0,0,0
28,0.975,0,0,200,39,0.0,0,0,0
29,0.975,0,0,200,39,0.0,0,0,0
30,0.975,0,0,200,39,0.0,0,0,0
